0, 36 70 100 95;
1, 0 75 100 95;
2, 12 75 100 95;
3, 24 75 100 95;
4, 36 74 100 95;
5, 42 75 100 95;
6, 0 77 100 95;
7, 36 70 100 95;
8, 0 77 100 95;
9, 12 77 100 95;
10, 24 77 100 95;
11, 36 75 100 95;
12, 42 77 100 95;
13, 0 79 100 95;
14, 36 70 100 95;
15, 0 79 100 95;
16, 12 79 100 95;
17, 24 79 100 95;
18, 36 77 100 95;
19, 42 79 100 95;
20, 0 80 100 95;
21, 12 80 100 95;
22, 24 80 100 95;
23, 30 79 100 95;
24, 36 77 100 95;
25, 42 75 100 95;
26, 0 74 100 95;
27, 12 74 100 95;
28, 24 74 100 95;
29, 36 72 100 95;
30, 42 74 100 95;
31, 0 75 100 95;
32, 36 75 100 95;
33, 0 84 100 95;
34, 12 84 100 95;
35, 24 84 100 95;
36, 36 82 100 95;
37, 42 80 100 95;
38, 0 82 100 95;
39, 36 82 100 95;
40, 0 80 100 95;
41, 12 80 100 95;
42, 24 80 100 95;
43, 36 79 100 95;
44, 42 77 100 95;
45, 0 79 100 95;
46, 0 79 100 95;
47, 12 79 100 95;
48, 24 79 100 95;
49, 36 81 100 95;
50, 42 83 100 95;
51, 0 84 100 95;
52, 24 79 100 95;
53, 36 84 100 95;
54, 0 84 100 95;
55, 24 82 100 95;
56, 36 81 100 95;
57, 0 82 100 95;
