0, 0 55 100 95;
1, 6 63 100 95;
2, 12 62 100 95;
3, 18 60 100 95;
4, 24 59 100 95;
5, 30 65 100 95;
6, 36 68 100 95;
7, 42 67 100 95;
8, 0 62 100 95;
9, 0 55 100 95;
10, 6 63 100 95;
11, 12 62 100 95;
12, 18 60 100 95;
13, 24 59 100 95;
14, 30 65 100 95;
15, 36 70 100 95;
16, 42 68 100 95;
17, 0 62 100 95;
18, 0 55 100 95;
19, 12 56 100 95;
20, 24 52 100 95;
21, 36 53 100 95;
22, 0 60 100 95;
23, 12 61 100 95;
24, 24 57 100 95;
25, 36 58 100 95;
26, 0 65 100 95;
27, 12 66 100 95;
28, 24 62 100 95;
29, 36 63 100 95;
30, 0 68 100 95;
31, 36 66 100 95;
32, 0 65 100 95;
33, 6 63 100 95;
34, 18 65 100 95;
35, 24 58 100 95;
36, 0 65 100 95;
37, 6 63 100 95;
38, 18 65 100 95;
39, 36 62 100 95;
