0, 36 67 100 95;
1, 42 72 100 95;
2, 0 74 100 95;
3, 12 79 100 95;
4, 18 77 100 95;
5, 24 76 100 95;
6, 36 67 100 95;
7, 42 72 100 95;
8, 0 74 100 95;
9, 12 79 100 95;
10, 18 77 100 95;
11, 24 76 100 95;
12, 42 72 100 95;
13, 0 72 100 95;
14, 6 71 100 95;
15, 12 69 100 95;
16, 18 71 100 95;
17, 24 67 100 95;
18, 42 72 100 95;
19, 0 72 100 95;
20, 6 71 100 95;
21, 12 69 100 95;
22, 18 71 100 95;
23, 24 67 100 95;
24, 36 69 100 95;
25, 42 72 100 95;
26, 0 74 100 95;
27, 12 74 100 95;
28, 18 79 100 95;
29, 24 76 100 95;
30, 36 69 100 95;
31, 42 72 100 95;
32, 0 74 100 95;
33, 12 74 100 95;
34, 18 79 100 95;
35, 24 76 100 95;
36, 36 74 100 95;
37, 42 72 100 95;
38, 0 69 100 95;
39, 6 71 100 95;
40, 12 72 100 95;
41, 0 69 100 95;
42, 6 71 100 95;
43, 12 72 100 95;
