0, 6 76 100 95;
1, 12 75 100 95;
2, 18 76 100 95;
3, 24 77 100 95;
4, 30 76 100 95;
5, 6 74 100 95;
6, 12 73 100 95;
7, 18 74 100 95;
8, 24 76 100 95;
9, 30 74 100 95;
10, 6 72 100 95;
11, 12 71 100 95;
12, 18 72 100 95;
13, 24 74 100 95;
14, 30 72 100 95;
15, 36 71 100 95;
16, 42 69 100 95;
17, 0 67 100 95;
18, 6 76 100 95;
19, 12 75 100 95;
20, 18 76 100 95;
21, 24 77 100 95;
22, 30 76 100 95;
23, 6 74 100 95;
24, 12 73 100 95;
25, 18 74 100 95;
26, 24 76 100 95;
27, 30 74 100 95;
28, 6 72 100 95;
29, 12 71 100 95;
30, 18 72 100 95;
31, 24 74 100 95;
32, 30 72 100 95;
33, 36 71 100 95;
34, 42 72 100 95;
35, 0 81 100 95;
36, 42 81 100 95;
37, 0 81 100 95;
38, 6 79 100 95;
39, 12 78 100 95;
40, 18 79 100 95;
41, 24 76 100 95;
42, 30 72 100 95;
43, 42 76 100 95;
44, 0 76 100 95;
45, 6 74 100 95;
46, 12 73 100 95;
47, 18 74 100 95;
48, 24 71 100 95;
49, 30 67 100 95;
50, 42 71 100 95;
51, 0 72 100 95;
52, 42 76 100 95;
53, 0 76 100 95;
54, 6 75 100 95;
55, 12 76 100 95;
56, 18 77 100 95;
57, 24 76 100 95;
58, 30 72 100 95;
59, 42 76 100 95;
60, 0 76 100 95;
61, 6 75 100 95;
62, 12 76 100 95;
63, 18 77 100 95;
64, 24 76 100 95;
65, 30 72 100 95;
66, 42 72 100 95;
67, 0 74 100 95;
68, 6 73 100 95;
69, 12 74 100 95;
70, 18 76 100 95;
71, 24 74 100 95;
72, 30 71 100 95;
73, 42 74 100 95;
74, 0 74 100 95;
75, 6 73 100 95;
76, 12 74 100 95;
77, 18 76 100 95;
78, 24 74 100 95;
79, 30 71 100 95;
80, 42 76 100 95;
81, 0 76 100 95;
82, 6 75 100 95;
83, 12 76 100 95;
84, 18 77 100 95;
85, 24 76 100 95;
86, 30 72 100 95;
87, 42 76 100 95;
88, 0 76 100 95;
89, 6 75 100 95;
90, 12 76 100 95;
91, 18 77 100 95;
92, 24 76 100 95;
93, 30 72 100 95;
94, 36 71 100 95;
95, 42 69 100 95;
96, 0 81 100 95;
97, 36 75 100 95;
98, 0 76 100 95;
